crosswalk_id,교차로,신호등,주변학교유무,사고건수,car,cctv,safe,smart,demo_weight
06-0000036765,0,0,0,0.0,0.0,0,0,0,136.73504273504275
06-0000036763,0,0,1,2.0,0.0,0,0,0,136.73504273504275
06-0000036761,0,0,1,2.0,0.0,0,0,0,136.73504273504275
06-0000036762,0,0,1,0.0,0.0,0,0,0,136.73504273504275
06-0000038099,0,0,1,4.0,0.0,0,0,0,109.38803418803421
06-0000036764,0,0,0,0.0,0.0,0,0,0,136.73504273504275
06-0000014300,1,1,1,2.0,0.0,0,8,0,109.38803418803421
06-0000036756,1,0,1,8.0,0.0,0,0,0,136.73504273504275
06-0000036755,1,0,1,7.0,0.0,0,0,0,136.73504273504275
06-0000036757,1,1,1,10.0,0.0,0,4,0,136.73504273504275
06-0000036758,1,0,1,3.0,0.0,0,0,0,136.73504273504275
06-0000036760,1,1,1,3.0,0.0,0,6,0,136.73504273504275
06-0000036759,1,1,1,3.0,0.0,0,4,0,136.73504273504275
06-0000036754,1,1,1,6.0,0.0,0,1,0,136.73504273504275
06-0000038101,0,0,1,7.0,0.0,0,0,0,136.73504273504275
06-0000037117,1,1,1,10.0,0.0,0,7,0,136.73504273504275
06-0000033531,1,1,1,10.0,0.0,0,12,0,136.73504273504275
06-0000038344,1,1,1,13.0,0.0,0,13,0,136.73504273504275
06-0000037116,1,1,1,13.0,0.0,0,13,0,136.73504273504275
06-0000038111,1,0,1,10.0,0.0,0,0,0,136.73504273504275
06-0000046662,0,0,1,2.0,0.0,0,0,0,109.38803418803421
06-0000038098,0,0,1,3.0,0.0,0,0,0,109.38803418803421
06-0000038119,0,0,1,3.0,0.0,0,0,0,109.38803418803421
06-0000038120,0,0,0,3.0,0.0,0,0,0,109.38803418803421
06-0000019177,1,0,1,0.0,0.0,0,0,0,331.59794871794867
06-0000041576,0,0,0,2.0,0.0,0,0,0,109.38803418803421
06-0000038121,0,0,0,2.0,0.0,0,0,0,109.38803418803421
06-0000038122,0,0,0,2.0,0.0,0,0,0,82.04102564102564
06-0000038163,0,0,1,6.0,0.0,0,0,0,27.347008547008553
06-0000027999,0,0,1,4.0,0.0,0,0,0,82.04102564102564
06-0000028000,1,1,1,8.0,0.0,0,2,0,210.8958974358975
06-0000013632,1,1,1,8.0,0.0,0,16,0,210.8958974358975
06-0000028002,1,0,1,10.0,0.0,0,0,0,210.8958974358975
06-0000037791,1,0,1,10.0,0.0,0,0,0,210.8958974358975
06-0000000054,1,0,1,0.0,0.0,1,0,0,210.8958974358975
06-0000028001,1,0,1,8.0,0.0,0,0,0,210.8958974358975
06-0000014437,0,0,1,0.0,18.05205479,0,0,0,1326.3917948717951
06-0000014299,1,1,1,8.0,0.0,1,10,0,210.8958974358975
06-0000002245,1,0,1,2.0,33.33013699,0,0,0,1326.3917948717951
06-0000000930,1,1,1,14.0,0.0,1,8,0,281.19452991452994
06-0000013039,1,1,1,16.0,0.0,1,44,0,281.19452991452994
06-0000000036,1,1,1,1.0,33.33013699,0,3,0,1326.3917948717951
06-0000013038,1,1,1,19.0,0.0,1,2,0,281.19452991452994
06-0000037794,1,1,1,20.0,0.0,1,1,0,281.19452991452994
06-0000037040,1,0,1,20.0,0.0,1,0,0,281.19452991452994
06-0000000037,1,0,1,0.0,33.33013699,0,0,0,1326.3917948717951
06-0000000042,1,1,1,2.0,33.33013699,0,3,0,1326.3917948717951
06-0000014253,0,0,0,1.0,0.0,0,0,0,1326.3917948717951
06-0000000055,0,0,1,2.0,0.0,1,0,0,281.19452991452994
06-0000013040,1,1,1,20.0,0.0,1,1,0,281.19452991452994
06-0000001712,1,0,1,16.0,0.0,1,0,0,281.19452991452994
06-0000013041,1,1,1,18.0,0.0,1,56,0,281.19452991452994
06-0000014023,0,0,1,0.0,0.0,0,0,0,994.793846153846
06-0000014046,0,0,1,0.0,0.0,0,0,0,1326.3917948717951
06-0000000041,1,0,1,1.0,33.33013699,0,0,0,1326.3917948717951
06-0000037772,1,1,1,3.0,0.0,0,10,0,281.19452991452994
06-0000037818,1,1,1,3.0,0.0,0,5,1,281.19452991452994
06-0000037805,1,0,1,3.0,0.0,1,0,0,281.19452991452994
06-0000037771,1,0,1,3.0,0.0,1,0,0,281.19452991452994
06-0000037819,1,0,1,3.0,0.0,1,0,0,281.19452991452994
06-0000000057,1,1,1,3.0,0.0,1,2,0,281.19452991452994
06-0000000061,1,1,1,4.0,0.0,1,3,0,281.19452991452994
06-0000014250,1,0,1,0.0,0.0,0,0,0,1326.3917948717951
06-0000014027,0,0,1,0.0,0.0,0,0,0,210.8958974358975
06-0000003614,0,0,1,7.0,0.0,1,0,0,281.19452991452994
06-0000012408,0,0,1,6.0,0.091780822,1,0,0,281.19452991452994
06-0000014246,0,0,1,2.0,0.0,0,0,0,994.793846153846
06-0000046525,1,0,1,0.0,0.0,0,0,0,994.793846153846
06-0000026278,1,1,1,5.0,0.095890411,0,20,0,281.19452991452994
06-0000002634,0,0,1,3.0,0.0,0,0,0,994.793846153846
06-0000037770,1,1,1,5.0,0.095890411,0,50,0,281.19452991452994
06-0000014251,1,0,1,1.0,0.0,0,0,0,994.793846153846
06-0000012938,0,0,0,13.0,0.0,0,0,0,13.673504273504276
06-0000024272,0,0,1,4.0,0.0,1,0,0,281.19452991452994
06-0000015755,1,1,1,5.0,0.095890411,0,32,0,281.19452991452994
06-0000050952,0,0,1,5.0,0.0,1,0,0,351.49316239316244
06-0000014047,1,0,1,1.0,0.0,0,0,0,994.793846153846
06-0000013963,1,1,1,5.0,0.095890411,0,18,0,281.19452991452994
06-0000024273,1,0,1,4.0,0.0,1,0,0,351.49316239316244
06-0000013042,1,0,1,4.0,0.0,1,0,0,351.49316239316244
06-0000013964,1,1,1,5.0,0.095890411,1,14,0,281.19452991452994
06-0000015756,1,1,1,4.0,0.0,0,8,0,994.793846153846
06-0000031628,0,0,1,0.0,0.0,1,0,0,351.49316239316244
06-0000020801,0,0,1,0.0,0.171232877,0,0,0,281.19452991452994
06-0000027388,1,1,1,9.0,0.0,1,2,0,351.49316239316244
06-0000039032,0,0,1,2.0,0.0,1,0,0,351.49316239316244
06-0000003143,1,1,1,5.0,0.0,1,2,0,351.49316239316244
06-0000037730,1,1,1,5.0,0.0,1,2,0,351.49316239316244
06-0000027394,0,0,1,5.0,0.0,1,0,0,351.49316239316244
06-0000014042,0,0,1,1.0,0.075342466,0,0,0,210.8958974358975
06-0000027395,0,0,1,3.0,0.0,1,0,0,351.49316239316244
06-0000014043,1,1,1,13.0,0.280821918,0,2,0,114.94256410256409
06-0000027389,1,0,1,5.0,0.0,1,0,0,351.49316239316244
06-0000002366,0,0,1,4.0,0.0,1,0,0,351.49316239316244
06-0000014044,1,0,1,10.0,0.19863013699999998,0,0,0,114.94256410256409
06-0000014247,1,0,1,0.0,0.0,0,0,0,114.94256410256409
06-0000003145,0,1,1,4.0,0.19452054800000002,0,15,0,114.94256410256409
06-0000014249,0,0,1,0.0,0.0,0,0,0,114.94256410256409
06-0000014045,0,0,0,8.0,0.36301369899999997,0,0,0,114.94256410256409
06-0000037813,1,1,1,10.0,0.30273972600000004,0,38,1,114.94256410256409
06-0000037742,1,1,1,11.0,0.30273972600000004,0,35,0,114.94256410256409
06-0000013805,1,0,1,9.0,0.054794521,0,0,0,114.94256410256409
06-0000037745,1,1,1,12.0,0.054794521,0,5,0,114.94256410256409
06-0000013798,1,0,1,13.0,0.30273972600000004,0,0,0,114.94256410256409
06-0000029139,1,1,1,13.0,0.30273972600000004,0,12,0,114.94256410256409
06-0000037769,1,1,1,13.0,0.30273972600000004,0,8,0,114.94256410256409
06-0000037741,1,1,1,13.0,0.30273972600000004,0,8,0,114.94256410256409
06-0000027390,1,0,1,4.0,0.0,1,0,0,351.49316239316244
06-0000013797,0,0,1,4.0,0.47123287700000005,0,0,0,114.94256410256409
06-0000037743,1,1,1,14.0,0.30273972600000004,0,48,0,114.94256410256409
06-0000037812,1,1,1,17.0,0.357534247,0,5,0,114.94256410256409
06-0000013802,1,1,1,12.0,0.163013699,0,46,0,114.94256410256409
06-0000025945,1,1,1,6.0,0.0,1,12,0,351.49316239316244
06-0000002368,1,1,1,4.0,0.0,0,12,0,351.49316239316244
06-0000037727,1,1,1,6.0,0.0,1,6,0,351.49316239316244
06-0000037744,1,1,1,14.0,0.253424658,0,5,0,114.94256410256409
06-0000037213,1,0,1,7.0,0.0,1,0,0,281.19452991452994
06-0000029140,1,0,1,16.0,0.357534247,0,0,0,153.25675213675214
06-0000013799,1,0,1,18.0,0.163013699,0,0,0,153.25675213675214
06-0000027397,0,0,1,1.0,0.101369863,0,0,0,351.49316239316244
06-0000003140,1,1,1,5.0,0.0,1,12,0,351.49316239316244
06-0000037220,1,1,1,1.0,0.11917808199999999,1,2,0,351.49316239316244
06-0000002370,1,1,1,2.0,0.0,0,45,0,351.49316239316244
06-0000013965,1,1,1,5.0,0.0,1,48,0,281.19452991452994
06-0000003582,0,0,1,1.0,0.11917808199999999,0,0,0,351.49316239316244
06-0000022976,1,1,1,1.0,0.11917808199999999,1,2,0,351.49316239316244
06-0000022975,1,1,1,1.0,0.068493151,1,4,0,351.49316239316244
06-0000037222,0,0,1,1.0,0.11917808199999999,0,0,0,351.49316239316244
06-0000022974,0,0,1,0.0,0.0,1,0,0,281.19452991452994
06-0000013801,1,0,1,15.0,0.253424658,0,0,0,153.25675213675214
06-0000027393,1,1,1,3.0,0.0,0,13,0,351.49316239316244
06-0000027396,0,0,1,1.0,0.032876712,0,0,0,351.49316239316244
06-0000050357,0,0,1,1.0,0.032876712,0,0,0,351.49316239316244
