crosswalk_id,gu_code,dong_code,roadname,change_id,crossroad_code,X_cord,Y_cord,lon,lat
06-0000036765,500.0,11000.0,504-4답,91017,,182085.59077410397,553161.906780842,126.79719604400587,37.57783243494317
06-0000036765,500.0,11000.0,504-4답,88079,,182085.59077410397,553161.906780842,126.79719604400587,37.57783243494317
06-0000036763,500.0,11000.0,493-2답,87611,,182118.597715848,553218.7419698279,126.79756831779015,37.57834515483378
06-0000036763,500.0,11000.0,493-2답,87759,,182118.597715848,553218.7419698279,126.79756831779015,37.57834515483378
06-0000036761,500.0,11000.0,493-1 답,87609,,182123.651197013,553202.983497449,126.79762591116008,37.578203270897404
06-0000036761,500.0,11000.0,493-1 답,87760,,182123.651197013,553202.983497449,126.79762591116008,37.578203270897404
06-0000036762,500.0,11000.0,493-1 답,87761,,182126.884618703,553193.12834994,126.7976627560599,37.57811453989531
06-0000036762,500.0,11000.0,493-1 답,87610,,182126.884618703,553193.12834994,126.7976627560599,37.57811453989531
06-0000038099,500.0,11000.0,347-1구,101430,,182128.79338970105,553579.7502371679,126.79767493876557,37.581597994817244
06-0000036764,500.0,11000.0,493-1 답,88078,,182129.87817353397,553182.6750900829,126.79769689999546,37.578020415302724
06-0000036764,500.0,11000.0,493-1 답,91505,,182129.87817353397,553182.6750900829,126.79769689999546,37.578020415302724
06-0000014300,500.0,11000.0,426-1대,15077,,182194.016710857,553634.7886072961,126.79841200943599,37.58209514724442
06-0000014300,500.0,11000.0,349-27 도,72354,5540.0,182196.351532907,553635.6262034411,126.79843842230696,37.58210273902328
06-0000014300,500.0,11000.0,424-2도,31152,,182196.386717344,553634.946370133,126.79843883715412,37.582096614487064
06-0000036756,500.0,11000.0,492-26 도,87604,,182204.620104923,553244.981211428,126.79854151709793,37.578583233345434
06-0000036756,500.0,11000.0,492-26 도,91013,,182204.620104923,553244.981211428,126.79854151709793,37.578583233345434
06-0000036755,500.0,11000.0,492-26 도,87603,,182206.870981632,553266.913396984,126.79856646640422,37.57878088330082
06-0000036757,500.0,11000.0,489-1도,91014,,182223.458241621,553233.623923072,126.79875505465584,37.578481269238274
06-0000036757,500.0,11000.0,489-1도,87605,,182223.458241621,553233.623923072,126.79875505465584,37.578481269238274
06-0000036758,500.0,11000.0,491-1답,90293,,182234.56726659,553195.1290860961,126.7988817500498,37.57813464948337
06-0000036758,500.0,11000.0,491-1답,87606,,182234.660696701,553194.618070174,126.79888282012772,37.57813004709011
06-0000036758,500.0,11000.0,491-1답,90356,,182234.684328361,553195.192774347,126.79888307372744,37.578135225565035
06-0000036758,500.0,11000.0,491-1답,91506,,182234.684328361,553195.192774347,126.79888307372744,37.578135225565035
06-0000036760,500.0,11000.0,490-3답,90151,,182250.391200193,553167.951459275,126.79906154606556,37.57789008721633
06-0000036760,500.0,11000.0,490-3답,91016,,182250.391200193,553167.951459275,126.79906154606556,37.57789008721633
06-0000036760,500.0,11000.0,490-3답,87608,,182250.567256757,553167.442513155,126.79906355146484,37.57788550506209
06-0000036759,500.0,11000.0,490-3답,91015,,182253.06096474399,553180.759794323,126.79909145949884,37.57800554030315
06-0000036759,500.0,11000.0,490-3답,87607,,182253.06096474399,553180.759794323,126.79909145949884,37.57800554030315
06-0000036754,500.0,11000.0,446구,91508,,182278.53534506398,553287.161896822,126.79937727460529,37.57896470156011
06-0000036754,500.0,11000.0,446구,87602,,182278.53534506398,553287.161896822,126.79937727460529,37.57896470156011
06-0000038101,500.0,11000.0,산69-1 임,94922,,182279.778340875,553388.9552192161,126.79938888562391,37.579881871541524
06-0000037117,500.0,11000.0,446-1도,91936,,182285.63058430105,553313.005190762,126.79945697405596,37.579197683150326
06-0000036754,500.0,11000.0,산70-1임,101428,2878.0,182286.234975213,553283.634295503,126.7994645260124,37.578933066385865
06-0000033531,500.0,11000.0,446-1도,89407,,182294.80919384304,553316.999725756,126.7995607873324,37.579233849931775
06-0000038344,500.0,11000.0,424-2도,101345,,182296.17717999802,553342.141446572,126.79957566691687,37.57946040023043
06-0000037116,500.0,11000.0,424-2도,91935,,182296.464514691,553342.010783822,126.79957892295984,37.57945922849701
06-0000033531,500.0,11000.0,446-1도,91507,,182298.170494102,553310.008204384,126.79959900899513,37.579170921735724
06-0000033531,500.0,11000.0,446-1도,71011,,182298.170494102,553310.008204384,126.79959900899513,37.579170921735724
06-0000033531,500.0,11000.0,446-1도,72454,,182298.530793863,553310.25033868,126.7996030820499,37.579173110262325
06-0000037117,500.0,11000.0,산69-1 임,101429,2878.0,182300.13023425397,553315.142538207,126.79962107095993,37.579217219154174
06-0000038111,500.0,11000.0,산69-1 임,101432,2878.0,182325.494791667,553307.689716178,126.7999083993458,37.579150557158435
06-0000046662,500.0,11000.0,산78-6임,151990,,182328.625737042,553212.224896467,126.7999461456142,37.57829049011189
06-0000038098,500.0,11000.0,446-1도,101427,,182331.13488725398,553215.113825965,126.79997448137945,37.57831656717353
06-0000038098,500.0,11000.0,446-1도,101435,,182336.692230148,553209.3846056,126.80003753258622,37.57826505413495
06-0000038098,500.0,11000.0,산78-7임,106037,,182340.521535544,553203.33196404,126.80008102888284,37.578210593945094
06-0000038119,500.0,11000.0,산78-3임,101436,,182381.918474807,553201.39338011,126.80054971827637,37.57819392026176
06-0000038120,500.0,11000.0,산79-1임,101437,,182412.602557654,553144.879989875,126.8008984396519,37.57768532736355
06-0000019177,500.0,11300.0,1372 잡,67401,,182440.660346297,550009.51049997,126.80129111800484,37.54943646671155
06-0000019177,500.0,11300.0,10-1잡,20627,,182440.758155912,550009.529375004,126.80129222440209,37.54943663863697
06-0000019177,500.0,11300.0,10-1잡,67399,,182440.871270234,550009.510023831,126.80129350490719,37.54943646643832
06-0000041576,500.0,11000.0,461-2도,111036,,182448.949195067,552976.2660086789,126.80131394318457,37.576166827332365
06-0000038121,500.0,11000.0,460-39대,101438,,182467.00320393,553043.2263803739,126.80151672049361,37.5767704767284
06-0000038122,500.0,11000.0,460-40도,101439,,182474.663091159,553029.339441619,126.80160376616459,37.57664550270645
06-0000038163,500.0,11000.0,205-42대,98380,,182509.36795508105,554476.055270055,126.80196211600972,37.589680898471094
06-0000038163,500.0,11000.0,620 도,106376,,182509.43994540398,554476.055913628,126.80196293110114,37.589680905637174
06-0000027999,500.0,11000.0,556-71도,106303,,182509.45170891602,552878.801199179,126.8020011811438,37.57528983074618
06-0000027999,500.0,11000.0,556-71도,26944,,182509.541789626,552878.184626797,126.80200221559036,37.57528427720585
06-0000028000,500.0,11000.0,564-2도,71012,,182541.92037646894,552818.275093244,126.80237017642477,37.574745112924965
06-0000028000,500.0,11000.0,564-2도,26945,,182541.92037646894,552818.275093244,126.80237017642477,37.574745112924965
06-0000013632,500.0,11000.0,564-3도,2680,,182550.79407526695,552844.423787712,126.80247000606288,37.57498087798993
06-0000013632,500.0,11000.0,564-22도,106038,,182551.476683897,552844.994331601,126.80247771976774,37.57498603145875
06-0000013632,500.0,11000.0,산93임,106036,2877.0,182551.77197351895,552844.912250269,126.80248106446594,37.57498529750777
06-0000013632,500.0,11000.0,564-22도,72353,,182551.7773699,552844.84532461,126.80248112714683,37.57498469461697
06-0000028002,500.0,11000.0,566-37임,26947,,182570.008538909,552846.431263765,126.80268747037293,37.57499932888826
06-0000037791,500.0,11000.0,566-37임,94391,,182571.33349614398,552847.145687919,126.80270245220699,37.57500579084177
06-0000037791,500.0,11000.0,산93임,106039,2877.0,182571.720603168,552846.689576187,126.8027068451886,37.57500168864763
06-0000028002,500.0,11000.0,566-36임,73024,,182571.86342048398,552846.897967805,126.80270845695959,37.575003568935756
06-0000028002,500.0,11000.0,566-36임,72960,,182571.86342048398,552846.897967805,126.80270845695959,37.575003568935756
06-0000000054,500.0,10900.0,513-3잡,15574,,182581.872435243,552475.524320929,126.80283058304852,37.571657720453636
06-0000028001,500.0,11000.0,566-4도,26946,,182588.50416012105,552810.7767888521,126.80289769169464,37.57467843563956
06-0000028001,500.0,11000.0,산93임,93505,,182589.81073271198,552811.87039537,126.80291245636164,37.57468831361192
06-0000028001,500.0,11000.0,566-5전,89247,,182589.904167586,552811.3767920521,126.80291352578186,37.57468386806436
06-0000014437,500.0,10900.0,666-4구,13435,,182605.42471135198,551907.078303671,126.80311067027316,37.566536522387906
06-0000014299,500.0,10900.0,511-23도,12215,,182613.675473713,552621.202118442,126.80318713058226,37.572970863165054
06-0000014299,500.0,10900.0,산97임,89245,503.0,182614.308772108,552610.529091015,126.80319455252385,37.57287471224483
06-0000014299,500.0,10900.0,511-24 도,73026,,182615.992183959,552612.69229898,126.80321355730314,37.572894234291354
06-0000014299,500.0,10900.0,511-24 도,73027,,182616.077955078,552612.518991365,126.80321453233302,37.57289267442613
06-0000002245,500.0,10800.0,150-1잡,11256,,182619.82874631105,551107.686987392,126.80329264673493,37.55933434896082
06-0000000930,500.0,10900.0,513-8 도,14713,,182620.800195945,552552.744316763,126.80326940435651,37.57235419986325
06-0000013039,500.0,10900.0,511-24 도,14709,,182622.608640425,552581.10347483,126.80328920358343,37.572609747073216
06-0000013039,500.0,10900.0,511-24 도,57921,,182622.903535144,552580.765714634,126.8032925497561,37.57260670945096
06-0000013039,500.0,10900.0,511-24 도,57922,,182622.96381244305,552580.691031667,126.80329323385679,37.572606037702045
06-0000013039,500.0,10900.0,511-24 도,57923,,182623.050904754,552580.607534434,126.80329422170864,37.57260528704328
06-0000000930,500.0,10900.0,513-8 도,73029,,182623.345070451,552558.849831535,126.80329806721454,37.572409257927134
06-0000000930,500.0,10900.0,산99임,93079,503.0,182623.59116284602,552559.130483675,126.80330084628945,37.572411791215615
06-0000013039,500.0,10900.0,511-24 도,57920,,182623.795493675,552580.471210841,126.80330265358505,37.572604072825634
06-0000013039,500.0,10900.0,산97임,89244,503.0,182625.62601296,552584.03564063,126.80332329036041,37.57263622249403
06-0000013039,500.0,10900.0,511-24 도,84093,,182626.242710752,552583.88116579,126.803330274959,37.57263484232165
06-0000013039,500.0,10900.0,511-24 도,84094,,182626.26165151398,552583.7868851,126.80333049159977,37.57263399321953
06-0000013039,500.0,10900.0,511-24 도,84095,,182626.266398903,552583.672019918,126.80333054806108,37.572632958385604
06-0000013039,500.0,10900.0,511-24 도,73028,,182626.35180715105,552583.924329723,126.80333150889332,37.5726352332816
06-0000000036,500.0,10800.0,150-1잡,11257,,182636.092723304,551121.942153475,126.80347638276388,37.55946309336041
06-0000013038,500.0,10900.0,511-20전,14708,,182640.854753863,552600.65456109,126.80349528429888,37.57278624432502
06-0000013038,500.0,10900.0,500-14도,61178,,182644.01834658106,552601.59099763,126.80353107366363,37.572794741125975
06-0000013038,500.0,10900.0,산97임,89246,503.0,182644.43597065101,552601.749475344,126.8035357973728,37.57279617686135
06-0000037794,500.0,10900.0,산99임,94872,503.0,182650.64164045895,552567.966157621,126.8036068442046,37.57249190953088
06-0000037040,500.0,10900.0,526-1도,90022,,182652.054480688,552564.5847817729,126.80362291733677,37.572461470286605
06-0000000037,500.0,10800.0,150-1잡,11258,,182655.66522054301,551140.591523762,126.80369746104479,37.55963149115232
06-0000000042,500.0,10800.0,150-1잡,14488,,182661.13110179198,551096.83378234,126.80376035735328,37.559237340355885
06-0000014253,500.0,10900.0,886 잡,11310,,182661.524040015,551459.130708208,126.8037562430442,37.562501612316105
06-0000000055,500.0,10900.0,513-3잡,40541,,182662.561133919,552415.5746192021,126.80374537399004,37.57111910163445
06-0000000055,500.0,10900.0,513-3잡,15575,,182662.561133919,552415.5746192021,126.80374537399004,37.57111910163445
06-0000013040,500.0,10900.0,526-1도,14710,,182664.87366443398,552584.162999589,126.80376756565443,37.57263810931533
06-0000000055,500.0,10900.0,513-3잡,95049,,182665.89244317,552415.52939804,126.8037830842813,37.571118756878064
06-0000000055,500.0,10900.0,502학,93077,,182666.125456182,552415.024847166,126.80378573383085,37.571114215309294
06-0000000055,500.0,10900.0,513-9잡,92526,,182666.24976112,552416.9391780361,126.80378709566935,37.57113146557668
06-0000000055,500.0,10900.0,513-9잡,92525,,182666.33535877106,552415.907632489,126.80378808898642,37.57112217306539
06-0000013040,500.0,10900.0,산170임,61179,503.0,182669.871321758,552584.422368492,126.80382413235687,37.572640540226175
06-0000001712,500.0,10900.0,500-14도,17880,,182673.385598301,552612.188075639,126.80386325743801,37.572890772488186
06-0000013041,500.0,10900.0,526-1도,14711,,182674.61436605,552564.768607623,126.80387828736455,37.57246355106645
06-0000013041,500.0,10900.0,산170임,89243,503.0,182675.452400751,552566.946528862,126.80388772233135,37.5724831896729
06-0000014023,500.0,10900.0,666-4구,13436,,182675.457327227,551977.962807425,126.803901691484,37.567176504430385
06-0000013041,500.0,10900.0,526-1도,73030,,182675.681876888,552567.038729675,126.8038903177878,37.57248402470797
06-0000001712,500.0,10900.0,산170임,73025,503.0,182677.25920033106,552611.881718253,126.80390711349597,37.572888085083186
06-0000014046,500.0,10900.0,886 잡,11965,,182677.277170413,551573.78807426,126.80393183495316,37.56353496132153
06-0000000041,500.0,10800.0,85-4잡,11259,,182680.45051285397,551115.0206680179,126.80397858213124,37.55940156591867
06-0000037772,500.0,10900.0,683-1잡,95053,,182696.750400797,552267.284817394,126.80413588300578,37.569783667974356
06-0000037772,500.0,10900.0,683-1잡,94371,,182696.750400797,552267.284817394,126.80413588300578,37.569783667974356
06-0000037818,500.0,10900.0,683-1잡,93015,,182696.962889946,552266.972637831,126.80413829562895,37.56978085925764
06-0000037818,500.0,10900.0,502학,100912,6908.0,182698.9999011549,552288.9240193288,126.80416083560357,37.569978677296774
06-0000037805,500.0,10900.0,683-1잡,93016,,182699.066537794,552287.4440889279,126.80416162480742,37.56996534452094
06-0000037805,500.0,10900.0,683-1잡,95534,,182699.066537794,552287.4440889279,126.80416162480742,37.56996534452094
06-0000037771,500.0,10900.0,683-1잡,95052,,182699.494176298,552292.705870131,126.80416634132092,37.57001276068078
06-0000037771,500.0,10900.0,683-1잡,94370,,182699.494176298,552292.705870131,126.80416634132092,37.57001276068078
06-0000037819,500.0,10900.0,683-1잡,100850,,182699.500317155,552293.063603678,126.8041664023932,37.570015983940074
06-0000037819,500.0,10900.0,683-1잡,93017,,182699.500317155,552293.063603678,126.8041664023932,37.570015983940074
06-0000000057,500.0,10900.0,769-44도,95535,,182700.01478894602,552252.406710736,126.8041731850074,37.569649678992135
06-0000000057,500.0,10900.0,769-44도,15812,,182700.01478894602,552252.406710736,126.8041731850074,37.569649678992135
06-0000000061,500.0,10900.0,683-1잡,40605,,182704.03469954606,552269.25896318,126.80421829061956,37.569801591602406
06-0000000061,500.0,10900.0,683-1잡,15813,,182704.03469954606,552269.25896318,126.80421829061956,37.569801591602406
06-0000000061,500.0,10900.0,683-1잡,92527,,182704.03469954606,552269.25896318,126.80421829061956,37.569801591602406
06-0000014250,500.0,10900.0,739-1잡,15659,,182709.876241484,551309.1265602161,126.8043070445993,37.56115099622738
06-0000014027,500.0,10900.0,666-4구,22171,,182710.22940761398,551965.9880451,126.80429556045964,37.56706926604578
06-0000003614,500.0,10900.0,518-11도,5857,,182710.90031152606,552411.181206128,126.80429265968205,37.571080425789326
06-0000003614,500.0,10900.0,518-11도,76774,,182710.90031152606,552411.181206128,126.80429265968205,37.571080425789326
06-0000003614,500.0,10900.0,518-11도,93078,,182713.088299917,552412.681343789,126.80431739154902,37.57109398293496
06-0000003614,500.0,10900.0,518-11도,95540,,182713.088299917,552412.681343789,126.80431739154902,37.57109398293496
06-0000012408,500.0,10900.0,849-1도,76773,,182733.58795093198,552344.647571846,126.80455104198091,37.570481389829155
06-0000012408,500.0,10900.0,849-1도,5851,,182733.58795093198,552344.647571846,126.80455104198091,37.570481389829155
06-0000012408,500.0,10900.0,849-1도,95615,,182735.52206199896,552345.131099614,126.80457292385387,37.57048578261009
06-0000012408,500.0,10900.0,849-1도,93018,,182735.52206199896,552345.131099614,126.80457292385387,37.57048578261009
06-0000014246,500.0,10800.0,150잡,11260,,182751.59319075398,550961.151289793,126.80478738241024,37.558016549336074
06-0000046525,500.0,10900.0,886 잡,151850,,182751.810574199,551363.838157938,126.80478037673413,37.561644728788345
06-0000026278,500.0,10900.0,650-1잡,25039,,182762.58915630198,552041.38689874,126.80488644996893,37.56774958356557
06-0000026278,500.0,10900.0,650-1잡,93328,,182762.58915630198,552041.38689874,126.80488644996893,37.56774958356557
06-0000002634,500.0,10800.0,115-1잡,14757,,182763.18089117602,550990.091243205,126.80491784826263,37.558277512759794
06-0000037770,500.0,10900.0,650-1잡,96277,,182763.22901065802,552042.294302927,126.80489367123974,37.567757771160814
06-0000037770,500.0,10900.0,851대,93005,2876.0,182764.84068327,552042.688554335,126.80491190471109,37.56776135347555
06-0000037770,500.0,10900.0,650-1잡,94885,,182765.13946049105,552042.109103187,126.80491530022611,37.56775613826403
06-0000037770,500.0,10900.0,650-1잡,94884,,182765.656705482,552042.281526436,126.80492115093901,37.56775770145565
06-0000037770,500.0,10900.0,650-1잡,93329,,182765.656705482,552042.281526436,126.80492115093901,37.56775770145565
06-0000014251,500.0,10800.0,108잡,11309,,182767.623484794,551285.222814263,126.80496119698451,37.560936707005936
06-0000012938,500.0,11000.0,189-1도,14434,,182769.25530347895,554759.206484096,126.80489801823656,37.592236954342944
