시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료내용,수강료공개여부,기숙사학원여부,도로명우편번호,도로명주소,도로명상세주소,수정일
B10,서울특별시교육청,강서구,교습소,3000036718,1:1.618실험과학교습소,20200414,20200414,개원,,,8,4,입시.검정 및 보습,보통교과,,보습,,Y,N,07703,서울특별시 강서구 화곡로13길 107,/ 103호 (화곡동/ 화곡푸르지오 상가에이동),20230226
B10,서울특별시교육청,강서구,교습소,3000026323,1대2수학교습소,20160608,20160608,개원,,,20,5,입시.검정 및 보습,보통교과,초등수학,보습,초등수학:200000/ 중등수학:280000/ 고등수학:360000/ 고등수학(심화):450000,Y,N,07595,서울특별시 강서구 방화대로34길 102,/ 2층일부 (방화동),20230226
B10,서울특별시교육청,강서구,교습소,3000024285,3030가양영어교습소,20151001,20151001,개원,,,20,5,입시.검정 및 보습,보통교과,초등A,보습,초등A:200000/ 초등B:220000/ 초등C:235000/ 중등A:280000,Y,N,157804,서울특별시 강서구 양천로 507,/ 2층 206호 (가양동/ 강나루현대아파트),20230226
B10,서울특별시교육청,강서구,교습소,3000029366,3030잉글리쉬영어교습소,20170701,20170620,개원,,,24,8,입시.검정 및 보습,보통교과,초등영어1,보습,,Y,N,07541,서울특별시 강서구 양천로75길 19,/ 상가동 지하1층 03호 (염창동/ 강변힐스테이트아파트),20230226
B10,서울특별시교육청,강서구,교습소,3000039234,가양뮤즈음악교습소,20210622,20210622,개원,,,20,6,예능(대),예능(중),,음악,,Y,N,07531,서울특별시 강서구 허준로 175,/ 상가동 305호 (가양동/ 가양6단지아파트),20230226
B10,서울특별시교육청,강서구,교습소,16242,가양점프미술교습소,20070213,20070213,개원,,,42,7,예능(대),예능(중),미술일반1,미술,미술일반1:60000/ 미술일반2:100000/ 미술일반3:130000/ 미술입시1:100000/ 미술입시2:140000/ 미술입시3:250000,Y,N,157742,서울특별시 강서구 허준로 47,가양도시개발공사아파트 상가 3층 304호일부 (가양동),20230319
B10,서울특별시교육청,강서구,교습소,3000038107,가온누리토론논술교습소,20201228,20201228,개원,,,15,5,입시.검정 및 보습,보통교과,초등토론논술A,보습·논술,초등토론논술A:70000/ 초등토론논술B:110000/ 중등토론논술:130000,Y,N,07638,서울특별시 강서구 강서로45길 132-12,/ 1층 일부 (내발산동),20230226
B10,서울특별시교육청,강서구,교습소,3000038631,가우스수학교습소,20210316,20210316,개원,,,10,5,입시.검정 및 보습,보통교과,,보습,,Y,N,07554,서울특별시 강서구 양천로 658,/ 7층 일부 (염창동),20230226
B10,서울특별시교육청,강서구,교습소,3000033849,가우스엠(M)수학교습소,20190306,20190306,개원,,,84,7,입시.검정 및 보습,보통교과,초등1,보습,초등1:170000/ 초등2:190000/ 중등1:210000/ 중등2:250000/ 고등1:300000/ 고등2:300000/ 고등3:350000/ 고등4:400000/ 고등5:450000/ 고등6:600000/ 중등3:220000/ 고등7:500000,Y,N,07587,서울특별시 강서구 공항대로41길 66,/ 407호 (등촌동/ 세신등촌종합상가),20230226
B10,서울특별시교육청,강서구,교습소,11024,강서꿀수학교습소,20050830,20050830,개원,20131206,20141206,45,5,입시.검정 및 보습,보통교과,초등A,보습,초등A:190000/ 초등B:240000/ 초등C:270000/ 중등A:240000/ 중등B:300000/ 중등C:350000/ 고등A:280000/ 고등B:350000/ 고등C:400000,Y,N,157835,서울특별시 강서구 강서로45길 36,2층 (내발산동),20230226
