학원명,정원합계,도로명주소,Latitude,Longitude,도로명상세주소
1:1.618실험과학교습소,8,서울특별시 강서구 화곡로13길 107,37.5443631,126.8315655,/ 103호 (화곡동/ 화곡푸르지오 상가에이동)
1대2수학교습소,20,서울특별시 강서구 방화대로34길 102,37.5711706,126.8218858,/ 2층일부 (방화동)
3030가양영어교습소,20,서울특별시 강서구 양천로 507,37.5607332,126.8568025,/ 2층 206호 (가양동/ 강나루현대아파트)
3030잉글리쉬영어교습소,24,서울특별시 강서구 양천로75길 19,37.5512482,126.8744482,/ 상가동 지하1층 03호 (염창동/ 강변힐스테이트아파트)
가양뮤즈음악교습소,20,서울특별시 강서구 허준로 175,37.5631529,126.8592772,/ 상가동 305호 (가양동/ 가양6단지아파트)
가양점프미술교습소,42,서울특별시 강서구 허준로 47,37.5703714,126.8474442,가양도시개발공사아파트 상가 3층 304호일부 (가양동)
가온누리토론논술교습소,15,서울특별시 강서구 강서로45길 132-12,37.5507697,126.8315028,/ 1층 일부 (내발산동)
가우스수학교습소,10,서울특별시 강서구 양천로 658,37.5522268,126.8698341,/ 7층 일부 (염창동)
가우스엠(M)수학교습소,84,서울특별시 강서구 공항대로41길 66,37.5605876,126.8465649,/ 407호 (등촌동/ 세신등촌종합상가)
강서꿀수학교습소,45,서울특별시 강서구 강서로45길 36,37.548031,126.8340986,2층 (내발산동)
강서수력발전소수학교습소,207,서울특별시 강서구 강서로 316,37.5537195,126.836965,/ 5층 일부 (내발산동/ 창우빌딩)
강서알프레드피아노교습소,12,서울특별시 강서구 등촌로13바길 96,37.534482,126.8551657,1층 (화곡동)
강서오케스트라음악교습소,16,서울특별시 강서구 방화대로48길 40,37.574644,126.8189919,도시개발아파트 2-2단지상가 205 206호 (방화동)
강서우장한솔플러스수학교습소,108,서울특별시 강서구 우현로 5,37.5466225,126.8445271,/ 202호 (화곡동)
강서유니아트미술교습소,6,서울특별시 강서구 화곡로31길 25,37.5441597,126.8419251,/ 1층일부 (화곡동)
강서혜윰수학교습소,108,서울특별시 강서구 강서로 385,37.5599712,126.8383182,/ 910호 일부 (마곡동)
강서힐스테이트한우리독서토론논술교습소,40,서울특별시 강서구 우현로 15,37.547128,126.8436128,/ 4층(401호) 일부 (화곡동)
경서음악교습소,29,서울특별시 강서구 우현로 26,37.5480734,126.8431716,/ 101동 비102호 (화곡동/ 우장산 에스케이 뷰)
경희음악교습소,75,서울특별시 강서구 강서로48길 39,37.552519,126.8385805,/ 1층 일부 (내발산동)
경희피아노스튜디오음악교습소,54,서울특별시 강서구 마곡중앙1로 26,37.5591978,126.8260763,/ 208호 (마곡동/ 엠리체)
고릴라영어교습소,54,서울특별시 강서구 화곡로66길 90,37.5560122,126.8582396,/ 생활편익시설 204호/205호 (등촌동/ 등촌동코오롱아파트)
고쌤잉글리쉬영어교습소,72,서울특별시 강서구 공항대로41길 51,37.5601978,126.8457639,/ 세신그린코아빌딩 4층406호 (등촌동)
고양이미술상자미술교습소,21,서울특별시 강서구 공항대로42길 54-6,37.5556868,126.8425944,3층 일부 (내발산동)
고운그림미술교습소,20,서울특별시 강서구 초록마을로 51,37.5425818,126.8484481,1층일부 (화곡동)
고은그림미술교습소,18,서울특별시 강서구 강서로 348,37.5560356,126.840219,/ 상가1동 507호 (내발산동/ 우장산힐스테이트)
공감수학교습소,90,서울특별시 강서구 수명로 76,37.5527162,126.8262608,/ 서울메디스테이트빌딩 602호 (내발산동)
공부잘하는영어교습소,27,서울특별시 강서구 방화대로34길 86,37.5707687,126.8211552,/ 4층일부 (방화동)
그랑그림미술교습소,28,서울특별시 강서구 마곡중앙1로 20,37.5591978,126.8260763,/ 302호 (마곡동/ 마곡 M시그니처)
그레이스교육수학교습소,27,서울특별시 강서구 곰달래로 177-3,37.5312048,126.8526429,/ 1층일부 (화곡동)
그리밍아트미술교습소,63,서울특별시 강서구 공항대로55길 9-7,37.5536627,126.8603341,/ 1층 일부 (등촌동/ 에스앤케이빌딩)
그린트리수학교습소,117,서울특별시 강서구 강서로47가길 33,37.5510684,126.8357488,/ 1층 일부 (내발산동)
그림두드림미술교습소,45,서울특별시 강서구 수명로 68-27,37.5526355,126.826665,/ 501호 일부 (내발산동/ 웨스트엔드 문화센터)
그림뜰미술교습소,18,서울특별시 강서구 곰달래로35길 17,37.531988,126.8534026,/ 1층 일부 (화곡동)
그림사이미술교습소,90,서울특별시 강서구 공항대로39길 100,37.562539,126.8465439,/ 등촌대림아파트상가 302호 (등촌동/ 대림아파트)
