학원명,정원합계,도로명주소,Latitude,Longitude,도로명상세주소
공항성진학원,208,서울특별시 강서구 송정로 37,37.5581301,126.8107459,2층일부 3층일부 (공항동)
공항아인스학원,70,서울특별시 강서구 방화대로7나길 46,37.5563643,126.8131836,(공항동/ 아인스학원)
과수원강의하는아이들학원,118,서울특별시 강서구 양천로 684,37.5506215,126.8719509,/ 4층 (염창동)
괜찮은수학학원,36,서울특별시 강서구 공항대로41길 56,37.5601428,126.8463149,/ 3층 일부 (등촌동/ 진아빌딩)
교연학원,252,서울특별시 강서구 공항대로 140,37.5593177,126.8228149,/ 마곡엠밸리12단지 업무시설1동(1201동) 205호/ 211호 (마곡동/ 마곡엠밸리12단지)
교원더퍼스트캠퍼스강서직영학원,80,서울특별시 강서구 허준로 16-8,37.5700489,126.8432993,/ 3층 일부/ 4층 일부 (가양동)
교육법인서울학원,489,서울특별시 강서구 수명로 74,37.552547,126.8261922,/ 701호 (내발산동/발산시티타워)
국어의별수학의별학원,96,서울특별시 강서구 강서로45가길 15,37.5472365,126.8356715,/ 3층 (화곡동)
국어의샘학원,60,서울특별시 강서구 강서로45라길 35,37.549376,126.8340776,2층일부 (내발산동)
국풍2000등촌관학원,52,서울특별시 강서구 공항대로41길 50,37.5598495,126.846084,/ 203호 205호 (등촌동)
국풍2000염창관학원,100,서울특별시 강서구 양천로 605,37.5553941,126.8656237,/ 2층 (염창동)
그란데스터디클럽독서실,172,서울특별시 강서구 우장산로 21-5,37.5548677,126.8396475,/ 201호~203호 (내발산동/ 영조빌딩)
그레이스학원,100,서울특별시 강서구 가로공원로76가길 53,37.5340319,126.841714,/ 늘푸른어린이집 3층 (화곡동/ 수창빌딩)
그린램프라이브러리강서캠퍼스독서실,204,서울특별시 강서구 강서로 242,37.547226,126.8367128,/ 5층 5~6호 (화곡동)
그린음악학원,40,서울특별시 강서구 방화대로 294,37.5669694,126.8170602,/ 마곡더블유타워 904호 (마곡동)
그린화실미술학원,105,서울특별시 강서구 양천로 87,37.5735677,126.8136419,/ 대일빌딩 2층일부 (방화동)
그림아트스튜디오미술학원,18,서울특별시 강서구 공항대로41길 76,37.560928,126.8468189,/ 402호일부 (등촌동/ 로얄프라자)
글로벌프라미스학원,375,서울특별시 강서구 강서로 308,37.5530943,126.8367868,/ 2층 일부(내발산동/ 신양빌딩) (내발산동)
글빛국어논술학원,49,서울특별시 강서구 강서로45길 42,37.5480582,126.8338368,/ 3층 (내발산동/미래빌딩)
글소리국어논술학원,165,서울특별시 강서구 강서로45길 33,37.5477969,126.8342018,3층 (화곡동)
기준과학전문학원,510,서울특별시 강서구 우장산로 16,37.5544334,126.8388258,/ 2층 (내발산동)
기준학원,31,서울특별시 강서구 허준로 198,37.5612683,126.8602465,가양프라자504호 (가양동)
기탄사고력교실화곡에듀진학원,100,서울특별시 강서구 까치산로 43,37.5432774,126.8447541,/ 2층 (화곡동)
기파랑문해원강서우장산학원,315,서울특별시 강서구 강서로 211,37.5445466,126.8371957,/ 501호/502호 (화곡동)
길벗뮤직아카데미학원,10,서울특별시 강서구 곰달래로 220,37.5314525,126.8573752,2층 (화곡동)
김미희음악학원,544,서울특별시 강서구 강서로 254,37.5484157,126.8367396,우장산아이파크이편한세상상가동405호 (화곡동)
김샘수학학원,40,서울특별시 강서구 양천로69길 65,37.5554689,126.8721166,강변성원아파트상가 201호(염창동/강변성원아파트)
김옥대수학학원,465,서울특별시 강서구 강서로45가길 9,37.5475227,126.8356399,/ 3층 (화곡동)
김정민수학학원,28,서울특별시 강서구 공항대로 103,37.5533338,126.8510294,/ 업무시설동 902호 (마곡동/ 마곡 엠밸리 9단지)
김종길국어논술(강서점)학원,315,서울특별시 강서구 강서로 348,37.5560356,126.840219,/ 상가1동 201~203호/211~214호/309호/315~316호 (내발산동/ 우장산힐스테이트)
김호증모가발미용학원,300,서울특별시 강서구 공항대로 425,37.5553706,126.854604,/ 201호일부 (등촌동)
김화중국어학원,60,서울특별시 강서구 방화대로 294,37.5669694,126.8170602,/ 705/ 706호 (마곡동/ 마곡더블유타워)
깨알독서학원,252,서울특별시 강서구 방화대로 294,37.5669694,126.8170602,/ 211호 (마곡동/ 마곡더블유타워)
꿈꾸는학원,225,서울특별시 강서구 방화대로34길 73,37.5706608,126.8203623,/ 2층 (방화동)
끌레어음악학원,53,서울특별시 강서구 강서로56나길 110,37.5635275,126.8434171,/ 부영아파트 상가 3층302호 (등촌동/ 부영아파트)
나다움미술학원,100,서울특별시 강서구 강서로 202,37.5441723,126.8382539,/ 4층/ 5층일부 (화곡동/성원빌딩)
나래정보처리회계학원,111,서울특별시 강서구 강서로 193,37.5433093,126.838273,/ 5층 (화곡동/안태수내과)
나무사랑학원,72,서울특별시 강서구 양천로14길 78,37.5698057,126.8088748,2층 (방화동)
나무음악학원,96,서울특별시 강서구 양천로65길 17,37.5558844,126.8662059,/ 4층 (염창동)
나오미영어학원,70,서울특별시 강서구 등촌로39길 22,37.5457433,126.8611518,/ 2층 (등촌동)
난다플러스영수학원,96,서울특별시 강서구 곰달래로31가길 10,37.5317579,126.85189,1층일부 2층 (화곡동)
난파음악학원,50,서울특별시 강서구 공항대로59다길 83,37.5519502,126.8677684,/ 2층 (염창동)
남예림무용아카데미학원,34,서울특별시 강서구 마곡중앙5로 81,37.5591978,126.8260763,/ 에스비타운 1001호 (마곡동)
내발산스터디뱅크독서실,140,서울특별시 강서구 강서로 303,37.5529406,126.8361022,5층 (내발산동)
내발산점와와학습코칭학원,264,서울특별시 강서구 강서로 330,37.5551258,126.8374954,/ 동아빌딩 4층 일부 (내발산동)
넥스트학원,40,서울특별시 강서구 강서로47길 19,37.5524629,126.8350775,발산시장2층일부 (내발산동)
논리와수학&과학학원,14,서울특별시 강서구 공항대로 103,37.5533338,126.8510294,/ 업무시설동 404호 (마곡동/ 마곡 엠밸리 9단지)
논리와수학학원,29,서울특별시 강서구 공항대로 103,37.5533338,126.8510294,/ 402호 (마곡동/ 마곡엠밸리9단지업무시설동)
논리와철학학원,20,서울특별시 강서구 공항대로 103,37.5533338,126.8510294,/ 408호 (마곡동/마곡엠밸리9단지업무시설동)
눈높이러닝센터가양등촌학원,660,서울특별시 강서구 공항대로41길 76,37.560928,126.8468189,/ 5층501호 일부 (등촌동/ 로얄프라자)
눈높이러닝센터강신학원,660,서울특별시 강서구 화곡로13길 104,37.5445093,126.8332323,/ A-201/ A-301 (화곡동)
눈높이러닝센터등촌학원,660,서울특별시 강서구 등촌로39길 23,37.5456035,126.8609524,2층 3층 (등촌동)
눈높이러닝센터마곡학원,660,서울특별시 강서구 마곡중앙1로 26,37.5591978,126.8260763,/ 엠리체 410~412호 (마곡동/ 마곡엠리체)
눈높이러닝센터방화학원,660,서울특별시 강서구 마곡중앙5로 81,37.5591978,126.8260763,/ 에스비타운 308호 (마곡동/ 에스비타운)
눈높이러닝센터염창학원,660,서울특별시 강서구 양천로 691-11,37.5507528,126.8734281,/ 2층 (염창동/수복장여관)
눈높이러닝센터화곡1동학원,660,서울특별시 강서구 월정로30길 99,37.535745,126.8411908,/ 3층 (화곡동/ 문성빌딩)
눈높이러닝센터화곡8동학원,660,서울특별시 강서구 강서로18길 33,37.534216,126.8474521,/ 3층/4층 (화곡동/동신빌딩)
눈높이러닝센터화곡본동학원,660,서울특별시 강서구 초록마을로6길 6,37.5424068,126.8471348,/ 2층/ 3층 (화곡동)
