무인교통단속카메라관리번호,시도명,시군구명,도로종류,도로노선번호,도로노선명,도로노선방향,소재지도로명주소,소재지지번주소,위도,경도,설치장소,단속구분,제한속도,단속구간위치구분,과속단속구간길이,보호구역구분,설치연도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
G5485,서울특별시,강서구,특별시도,,화곡로,2.0,서울특별시 강서구 화곡로 263,,37.54963819,126.8459842,우장초교 앞,2,50,,,2.0,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G5486,서울특별시,강서구,특별시도,,양천로27길,2.0,서울특별시 강서구 방화동 842-5,서울특별시 강서구 방화동 842-5,37.575819,126.8199982,도시개발아파트 218동,2,30,,,2.0,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G5487,서울특별시,강서구,특별시도,,허준로,1.0,서울특별시 강서구 허준로 95,,37.56711199,126.8513773,탑산초교 앞,2,30,,,2.0,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G5488,서울특별시,강서구,특별시도,,화곡로65길,2.0,서울특별시 강서구 등촌동 694,서울특별시 강서구 등촌동 694,37.56361691,126.8473931,등현초교 교차로,2,30,,,2.0,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G5489,서울특별시,강서구,특별시도,,강서로68길,1.0,서울특별시 강서구 강서로68길 108,,37.56466725,126.8457024,등양초교 앞,2,30,,,2.0,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G5490,서울특별시,강서구,특별시도,,마곡중앙로,2.0,서울특별시 강서구 내발산동 751,서울특별시 강서구 내발산동 751,37.55185777,126.8247079,수명산파크3단지 교차로,2,50,,,2.0,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G5491,서울특별시,강서구,특별시도,,공항대로59길,2.0,서울특별시 강서구 공항대로59길 41,,37.553575,126.863366,심미에셈빌아파트 건너편,2,30,,,2.0,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G5492,서울특별시,강서구,특별시도,,초원로,2.0,서울특별시 강서구 방화동 542-2,서울특별시 강서구 방화동 542-2,37.56929214,126.8063267,방화초교 앞,2,30,,,2.0,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G5493,서울특별시,강서구,특별시도,,마곡중앙3로,2.0,서울특별시 강서구 마곡동 742-4,서울특별시 강서구 마곡동 742-4,37.563617,126.822243,마곡엠밸리아파트 802동 앞,2,30,,,2.0,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
G5494,서울특별시,강서구,특별시도,,마곡서로,1.0,서울특별시 강서구 마곡서로 33,,37.55782959,126.8226104,공진초교 건너편,2,30,,,2.0,2020.0,서울특별시경찰청,02-700-5031,2022-08-19,1320000,경찰청
