단속장소,count,도로명주소,지번주소
서울특별시 강서구 보타닉파크타워 ,8833,서울특별시 강서구 공항대로 213 (마곡동),서울특별시 강서구 마곡동 774-2 보타닉파크타워2
서울특별시 강서구 1373 ,8621,서울특별시 강서구 하늘길 111 (공항동),서울특별시 강서구 공항동 1373 국내선 주차대기실
서울특별시 강서구 좋은책신사고,6517,서울특별시 강서구?강서로?463?(마곡동),서울특별시 강서구 마곡동 776-6 새싹타워
서울특별시 강서구 886 ,6368,서울특별시 강서구 국회대로 155 (화곡동),서울특별시 강서구 화곡동 886-8
서울특별시 강서구 행사전용주차장,6325,서울특별시 강서구 하늘길 38 (방화동),서울특별시?강서구?방화동 886
서울특별시 강서구 국내선1층,5396,서울특별시 강서구?하늘길?111?(공항동),서울특별시?강서구?공항동 1373?국내선?주차대기실
서울특별시 강서구 힐스테이트에코,4995,서울특별시 강서구 공항대로 195 (마곡동),서울특별시 강서구 마곡동 773-3 힐스테이트에코동익
서울특별시 강서구 홈플러스강서점뒤,4984,서울특별시 강서구?화곡로?398?(등촌동),서울특별시?강서구?등촌동 639-11?홈플러스강서점앤본사사옥
서울특별시 강서구 화곡본동시장(구도로),4980,서울특별시 강서구 까치산로 35 (화곡동),서울특별시 강서구 화곡본동 98-45
서울특별시 강서구 트라이콤택,4943,서울특별시 강서구 마곡중앙8로3길 49 (마곡동),서울특별시 강서구 마곡동 781-13
서울특별시 강서구 의약품수출입협회,4826,서울특별시 강서구 마곡동로 33 (마곡동),서울특별시 강서구 마곡동 800-14 한국의약품수출입협회통합회관
서울특별시 강서구 국내선2층,4659,서울특별시 강서구?하늘길?111?(공항동),서울특별시?강서구?공항동 1373?국내선?주차대기실
서울특별시 강서구 홈앤쇼핑주차장,4628,서울특별시 강서구 공항대로 150 (마곡동),서울특별시 강서구 마곡동 798
서울특별시 강서구 마곡필네이처,4537,서울특별시 강서구 마곡중앙8로 86 (마곡동),서울특별시 강서구 마곡동 795-1 필네이처
서울특별시 강서구 공공건축연구원,4237,서울특별시 강서구 마곡중앙로 161-8 (마곡동),서울특별시 강서구 마곡동 757
서울특별시 강서구 이대병원응급센터,4203,서울특별시 강서구 공항대로 260 (마곡동),서울특별시 강서구 마곡동 808
서울특별시 강서구 증미역,3882,서울특별시 강서구 양천로 지하560 (등촌동),서울특별시 강서구 등촌동 666-40 증미역 9호선
서울특별시 강서구 방신전통시장,3542,서울특별시 강서구 방화동로16길 31 (방화동),서울특별시 강서구 방화동 567-23
서울특별시 강서구 마곡지엠지타워 ,3462,서울특별시 강서구 마곡중앙6로 16 (마곡동),서울특별시 강서구 마곡동 773-2 마곡지엠지타워
서울특별시 강서구 발산역,3167,서울특별시 강서구 공항대로 지하267 (마곡동),서울특별시 강서구 마곡동 727-1496 발산역(5호선)
서울특별시 강서구 화천종합연구센터,3049,서울특별시 강서구 마곡중앙8로5길 2 (마곡동),서울특별시 강서구 마곡동 792-8 화천종합연구센터
서울특별시 강서구 유림트윈파크,2882,서울특별시 강서구 강서로 419 (마곡동),서울특별시 강서구 마곡동 793 유림트윈파크
서울특별시 강서구 서울식물원,2728,서울특별시 강서구 마곡동로 161 (마곡동),서울특별시 강서구 마곡동 812 서울식물원
서울특별시 강서구 KT화곡지사,2574,서울특별시 강서구 강서로5길 64 (화곡동),서울특별시 강서구 화곡동 893-1
서울특별시 강서구 부민병원뒷편,2546,서울특별시 강서구 공항대로 389 (등촌동),서울특별시 강서구 등촌동 657
서울특별시 강서구 이대병원정문,2536,서울특별시 강서구 공항대로 260 (마곡동),서울특별시 강서구 마곡동 808
서울특별시 강서구 가양시니어스타워 ,2488,서울특별시 강서구 화곡로68길 102 (등촌동),서울특별시 강서구 등촌동 637 서울시니어스가양타워
서울특별시 강서구 FITI시험연구원,2433,서울특별시 강서구 마곡중앙8로3길 79 (마곡동),서울특별시 강서구 마곡동 778
서울특별시 강서구 발산역공원,2330,서울특별시 강서구 공항대로 267 (내발산동),서울특별시 강서구 내발산동 727-1212
서울특별시 강서구 마곡사이언스타워 ,2288,서울특별시 강서구 마곡동로 62 (마곡동),서울특별시 강서구 마곡동 796-3 마곡사이언스타워
서울특별시 강서구 양천초교앞,2260,서울특별시 강서구 양천로 329 (가양동),서울특별시 강서구 가양동 272-11
서울특별시 강서구 국내선2층 게이트4 ,2184,서울특별시 강서구?하늘길?111?(공항동),서울특별시?강서구?공항동 1373?국내선?주차대기실
서울특별시 강서구 마곡중앙8로3길 ,2161,서울특별시 강서구 마곡중앙8로3길 5 (마곡동),서울특별시 강서구 마곡동 790-10 (주)소룩스
서울특별시 강서구 엠밸리15단지,2113,서울특별시 강서구 마곡중앙로 36 (마곡동),서울특별시 강서구 마곡동 751
서울특별시 강서구 인터시티호텔,2058,서울특별시 강서구?마곡중앙6로?76-3?(마곡동),서울특별시?강서구?마곡동 797-11 인터시티365
서울특별시 강서구 공진초교 ,2045,서울특별시 강서구 마곡서로 33 (마곡동),서울특별시 강서구 마곡동 749-2 서울공진초등학교
서울특별시 강서구 방화서주차장,2043,서울특별시 강서구 방화동 830-4 (방화동),서울특별시 강서구 157220
서울특별시 강서구 763-15 ,2003,서울특별시 강서구?마곡중앙12로?49?(마곡동),서울특별시?강서구?마곡동?763-16
서울특별시 강서구 마곡중앙로 ,1976,서울특별시 강서구 마곡중앙로 11 (내발산동),서울특별시 강서구 내발산동 739 공원관리사무실
서울특별시 강서구 812 ,1940,"서울특별시 강서구 곰달래로57가길 37 (화곡동, 홍성주택)",서울특별시 강서구 화곡동 812-6 홍성주택
서울특별시 강서구 홈플러스가양점,1885,서울특별시 강서구 양천로 431 (가양동),서울특별시 강서구 가양동 18-24 홈플러스가양점
서울특별시 강서구 공항동 하늘길,1857,서울특별시 강서구 하늘길 38 (방화동),서울특별시 강서구 방화동 886
서울특별시 강서구 김포공항롯데몰,1811,서울특별시 강서구 하늘길 38 (방화동),서울특별시 강서구 방화동 886
서울특별시 강서구 엠밸리712동건너편,1794,서울특별시 강서구 마곡서로 133 (마곡동),서울특별시 강서구 마곡동 743-4
서울특별시 강서구 트라이콤텍사거리,1774,서울특별시 강서구 마곡중앙8로3길 49 (마곡동),서울특별시 강서구 마곡동 781-13
서울특별시 강서구 763 ,1760,서울특별시 강서구 마곡중앙12로 29 (마곡동),서울특별시 강서구 마곡동 763-22 코이노
서울특별시 강서구 하늘길 ,1755,서울특별시 강서구 하늘길 38 (방화동),서울특별시 강서구 방화동 886
서울특별시 강서구 에스오일센터,1679,서울특별시 강서구 마곡중앙8로1길 31 (마곡동),서울특별시 강서구 마곡동  788-4
서울특별시 강서구 화곡역 ,1674,서울특별시 강서구 화곡로 416 (등촌동),서울특별시 강서구 등촌동 628-9 가양역 더스카이밸리5차 지식산업센터
서울특별시 강서구 수명산4단지상가동 ,1654,서울특별시 강서구 수명로1길 16 (내발산동),서울특별시 강서구 내발산동 753
서울특별시 강서구 영보빌딩 ,1649,서울특별시 강서구 금낭화로 45 (방화동),서울특별시 강서구 방화동 594-18 영보빌딩
서울특별시 강서구 가양오토갤러리 ,1635,서울특별시 강서구 강서로74길 58 (가양동),서울특별시 강서구 가양동 110-2 가양오토갤러리
서울특별시 강서구 원당공원입구 ,1505,서울특별시 강서구 강서로56길 49 (등촌동),서울특별시 강서구 등촌동 690-5
서울특별시 강서구 763-18 ,1473,서울특별시 강서구?마곡중앙12로?45?(마곡동),서울특별시?강서구?마곡동?763-17
